sep=,
"Start date","End date",Country,ISO,Location,Latitude,Longitude,"Magnitude value","Magnitude scale","Disaster type","Disaster subtype","Associated disaster","Associated disaster2","Total deaths","Total affected","Total damage ('000 US$)",insured_losses,"Disaster name","Disaster No."
16/10/1992,16/10/1992,Thailand,THA,"Ko Samui (Surat Thani province)",,,,Kph,Storm,"Tropical cyclone",--,--,3,106109,0,0,Angela,1992-0494
17/10/1992,17/10/1992,Thailand,THA,"Sisaket province (North)",,,,Kph,Storm,"Tropical cyclone",--,--,0,160550,0,0,Colleen,1992-0495
12/11/1992,12/11/1992,Thailand,THA,"Surat Thani, Krabi, Phangnga, Nakhon Si Thammarat provinces",,,,Kph,Storm,--,--,--,3,119787,0,0,Forrest,1992-0496
27/11/1993,02/12/1993,Thailand,THA,"Surat Thani, Nakhorn Si Thammara, Songkla, Pattani provinces",,,56410,Km2,Flood,"Flash flood",--,--,23,393809,1261000,0,,1993-0222
11/07/1993,11/07/1993,Thailand,THA,"Nakhon Phanom, Sakon Nakhon, Nong Khai provinces",,,,Kph,Storm,--,--,--,4,188448,106900,0,Lewis,1993-0481
29/09/1993,29/09/1993,Thailand,THA,"Udon Thani, Khon Kaen, Nakhon Panom, Nan, Uttaradit, Phayao, Mae Hong Son",,,,Kph,Storm,--,--,--,0,25468,25070,0,Winona,1993-0482
31/10/1993,31/10/1993,Thailand,THA,South,,,,Km2,Flood,--,--,--,4,302862,319850,0,,1993-0483
/12/1993,/12/1993,Thailand,THA,South,,,,Km2,Flood,--,--,--,14,192674,400100,0,,1993-0484
//1993,//1993,Thailand,THA,"North, Central",,,13000,Km2,Drought,Drought,--,--,0,0,2000,0,,1993-9522
08/05/1994,08/05/1994,Thailand,THA,Bangkok,,,,Kph,Storm,"Tropical cyclone",--,--,0,5000,0,0,,1994-0120
25/09/1994,25/09/1994,Thailand,THA,Wang-Takrai,,,,Km2,Flood,"Coastal flood",--,--,31,0,0,0,,1994-0308
/07/1994,/07/1994,Thailand,THA,,,,7554,Km2,Flood,--,--,--,60,59000,238000,0,,1994-0650
21/10/1994,21/10/1994,Thailand,THA,South,,,667,Km2,Flood,--,--,--,11,112257,30000,0,,1994-0657
30/08/1994,07/09/1994,Thailand,THA,"Chiang Rai, Chiang Mai, Phayao, Phitsanulok, Khanchanburi",,,,Kph,Storm,"Tropical cyclone",Flood,--,10,0,12000,0,Harry,1994-0774
28/07/1994,04/08/1994,Thailand,THA,"Lampang, Nan, Kanchanaburi, Phrae, Chinag Rai, Mae Hong Son, Tak, Phayao, Chiang Mai",,,,Kph,Storm,"Tropical cyclone",Flood,"Slide (land, mud, sn",9,10000,8000,0,Amy,1994-0777
09/08/1995,09/08/1995,Thailand,THA,Bangkok,,,,Kph,Storm,"Tropical cyclone",--,--,27,0,0,0,,1995-0167
01/08/1995,09/11/1995,Thailand,THA,"Phayao, Pichit, Pitsanuloke, Nakhon Sawan",,,444500,Km2,Flood,"Riverine flood",--,--,231,4280984,140500,0,,1995-0198
18/07/1996,21/08/1996,Thailand,THA,"Chumphon, Chiang Rai, Nan, Nong Khai, Udon Thani, Rayong, Ranong",,,,Kph,Storm,"Tropical cyclone",Flood,--,9,343386,150000,0,"Gloria and Frankie",1996-0182
30/06/1996,22/10/1996,Thailand,THA,,,,7000,Km2,Flood,"Riverine flood",--,--,91,5000000,500,0,,1996-0241
19/08/1997,01/09/1997,Thailand,THA,"Surat Thani Province",,,,Kph,Storm,"Tropical cyclone",Flood,--,46,50394,39500,0,Zita,1997-0184
18/09/1997,18/09/1997,Thailand,THA,"North East (4 NE prov. Mekong overflow)",,,,Km2,Flood,"Riverine flood",--,--,14,0,0,0,,1997-0213
01/10/1997,04/10/1997,Thailand,THA,,,,,Kph,Storm,"Tropical cyclone",--,--,152,0,5000,0,Linda,1997-0267
/02/1999,/02/1999,Thailand,THA,"Nakorn Srithammarat, Surat Thani, Songkla Provinces",,,960,Km2,Flood,"Flash flood",--,--,3,20000,0,0,,1999-0081
24/07/1999,05/08/1999,Thailand,THA,"Chantaburi, Trad, and Ubol Ratchathani Provinces",,,162,Km2,Flood,"Flash flood",--,--,7,90700,13000,0,,1999-0269
/08/1999,/08/1999,Thailand,THA,"Mae Hong Son & Tak Provinces",,,,Km2,Flood,"Flash flood",--,--,0,862,0,0,,1999-0353
25/10/1999,09/11/1999,Thailand,THA,"Prachuap Khiri Khan, Phetchaburi, Ratchaburi, Kanchanaburi, Lop Buri, Phitsanulok, Phichit, Nakhon Sawan, Satun, Phuket",,,,Km2,Flood,"Coastal flood",--,--,10,170000,0,0,,1999-0427
23/12/1999,23/12/1999,Thailand,THA,"Surat Thani, Nakhon Si Thammarat, Chumphon Provinces",,,4,Km2,Flood,"Coastal flood",--,--,0,200,267,0,,1999-0599
04/12/1999,07/12/1999,Thailand,THA,"Yala, Pattani, Narathiwat, Songkhla, Chumphon Provinces",,,,Km2,Flood,"Riverine flood",--,--,2,2000,0,0,,1999-0616
/01/1999,//1999,Thailand,THA,,,,,Km2,Drought,Drought,--,--,0,6000000,0,0,,1999-9037
21/06/2000,21/06/2000,Thailand,THA,"Muang Chiang Rai, Mae Chan districts (Chiang Rai province)",,,,Km2,Flood,--,--,--,0,2500,0,0,,2000-0401
/07/2000,/07/2000,Thailand,THA,"Phan, Muang Chiang Rai, Khun Tan districts (Chiang Ria province), Loei, Udon Thani, Nakhon Phanom, Sakon Nakhon, Kalasin, Maha Sarakham, Roi Et, Surin, Buriram, Si Saket, Yasothon, Amnat Charoen, Ubon Ratchathani provinces",,,2050,Km2,Flood,--,--,--,47,2500000,51050,0,,2000-0446
21/08/2000,21/08/2000,Thailand,THA,"Tha Tum, Chom Phra, Samrong Thap, Sikhoraphum, Sangkha, Muang Surin districts (Surin province), Ubon Ratchathani province",,,,Kph,Storm,"Tropical cyclone",--,--,2,41219,0,0,Kaemi,2000-0539
