"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
123,40,"KHM","Cambodia",19,"Prey Vêng",123,"Pea Reang","Srok","District",NA,NA
124,40,"KHM","Cambodia",19,"Prey Vêng",124,"Peam Chor","Srok","District",NA,NA
125,40,"KHM","Cambodia",19,"Prey Vêng",125,"Peam Ro","Srok","District",NA,NA
126,40,"KHM","Cambodia",19,"Prey Vêng",126,"Preah Sdach","Srok","District",NA,NA
127,40,"KHM","Cambodia",19,"Prey Vêng",127,"Prey Veaeng","Srok","District",NA,NA
128,40,"KHM","Cambodia",19,"Prey Vêng",128,"Sithor Kandal","Srok","District",NA,NA
129,40,"KHM","Cambodia",20,"Rôtânôkiri",129,"Andoung Meas","Srok","District",NA,NA
130,40,"KHM","Cambodia",20,"Rôtânôkiri",130,"Ban Lung","Srok","District",NA,NA
131,40,"KHM","Cambodia",20,"Rôtânôkiri",131,"Bar Kaev","Srok","District",NA,NA
132,40,"KHM","Cambodia",20,"Rôtânôkiri",132,"Koun Mom","Srok","District",NA,NA
133,40,"KHM","Cambodia",20,"Rôtânôkiri",133,"Lumphat","Srok","District",NA,NA
134,40,"KHM","Cambodia",20,"Rôtânôkiri",134,"Ou Chum","Srok","District",NA,NA
135,40,"KHM","Cambodia",20,"Rôtânôkiri",135,"Ou Ya Dav","Srok","District",NA,NA
136,40,"KHM","Cambodia",20,"Rôtânôkiri",136,"Ta Veaeng","Srok","District",NA,NA
137,40,"KHM","Cambodia",20,"Rôtânôkiri",137,"Veun Sai","Srok","District",NA,NA
138,40,"KHM","Cambodia",21,"Siemréab",138,"Angkor Chum","Srok","District",NA,NA
139,40,"KHM","Cambodia",21,"Siemréab",139,"Angkor Thum","Srok","District",NA,NA
140,40,"KHM","Cambodia",21,"Siemréab",140,"Banteay Srei","Srok","District",NA,NA
141,40,"KHM","Cambodia",21,"Siemréab",141,"Chi Kraeng","Srok","District",NA,NA
142,40,"KHM","Cambodia",21,"Siemréab",142,"Kralanh","Srok","District",NA,NA
143,40,"KHM","Cambodia",21,"Siemréab",143,"Prasat Bakong","Srok","District",NA,NA
144,40,"KHM","Cambodia",21,"Siemréab",144,"Puok","Srok","District",NA,NA
145,40,"KHM","Cambodia",21,"Siemréab",145,"Siem Reab","Srok","District",NA,NA
146,40,"KHM","Cambodia",21,"Siemréab",146,"Soutr Nikom","Srok","District",NA,NA
147,40,"KHM","Cambodia",21,"Siemréab",147,"Srei Snam","Srok","District",NA,NA
148,40,"KHM","Cambodia",21,"Siemréab",148,"Svay Leu","Srok","District",NA,NA
149,40,"KHM","Cambodia",21,"Siemréab",149,"Varin","Srok","District",NA,NA
150,40,"KHM","Cambodia",22,"Stœng Trêng",150,"Sesan","Srok","District",NA,NA
151,40,"KHM","Cambodia",22,"Stœng Trêng",151,"Siem Bouk","Srok","District",NA,NA
152,40,"KHM","Cambodia",22,"Stœng Trêng",152,"Siem Pang","Srok","District",NA,NA
153,40,"KHM","Cambodia",22,"Stœng Trêng",153,"Stueng Traeng","Srok","District",NA,NA
154,40,"KHM","Cambodia",22,"Stœng Trêng",154,"Thala Barivat","Srok","District",NA,NA
155,40,"KHM","Cambodia",23,"Svay Rieng",155,"Chantrea","Srok","District",NA,NA
156,40,"KHM","Cambodia",23,"Svay Rieng",156,"Kampong Rou","Srok","District",NA,NA
157,40,"KHM","Cambodia",23,"Svay Rieng",157,"Romeas Haek","Srok","District",NA,NA
158,40,"KHM","Cambodia",23,"Svay Rieng",158,"Rumduol","Srok","District",NA,NA
159,40,"KHM","Cambodia",23,"Svay Rieng",159,"Svay Chrum","Srok","District",NA,NA
160,40,"KHM","Cambodia",23,"Svay Rieng",160,"Svay Rieng","Srok","District",NA,NA
161,40,"KHM","Cambodia",23,"Svay Rieng",161,"Svay Teab","Srok","District",NA,NA
162,40,"KHM","Cambodia",24,"Takêv",162,"Angkor Borei","Srok","District",NA,NA
163,40,"KHM","Cambodia",24,"Takêv",163,"Bati","Srok","District",NA,NA
164,40,"KHM","Cambodia",24,"Takêv",164,"Bourei Cholsar","Srok","District",NA,NA
165,40,"KHM","Cambodia",24,"Takêv",165,"Doun Kaev","Srok","District",NA,NA
166,40,"KHM","Cambodia",24,"Takêv",166,"Kaoh Andaet","Srok","District",NA,NA
167,40,"KHM","Cambodia",24,"Takêv",167,"Kiri Vong","Srok","District",NA,NA
168,40,"KHM","Cambodia",24,"Takêv",168,"Prey Kabbas","Srok","District",NA,NA
169,40,"KHM","Cambodia",24,"Takêv",169,"Samraong","Srok","District",NA,NA
170,40,"KHM","Cambodia",24,"Takêv",170,"Tram Kak","Srok","District",NA,NA
171,40,"KHM","Cambodia",24,"Takêv",171,"Treang","Srok","District",NA,NA
172,40,"KHM","Cambodia",25,"Tbong Khmum",172,"Dambae","Srok","District",NA,NA
173,40,"KHM","Cambodia",25,"Tbong Khmum",173,"Kampong Siem","Srok","District",NA,NA
174,40,"KHM","Cambodia",25,"Tbong Khmum",174,"Krouch Chhmar","Srok","District",NA,NA
175,40,"KHM","Cambodia",25,"Tbong Khmum",175,"Memot","Srok","District",NA,NA
176,40,"KHM","Cambodia",25,"Tbong Khmum",176,"Ou Reang Ov","Srok","District",NA,NA
177,40,"KHM","Cambodia",25,"Tbong Khmum",177,"Ponhea Kraek","Srok","District",NA,NA
178,40,"KHM","Cambodia",25,"Tbong Khmum",178,"Tboung Khmum","Srok","District",NA,NA
