"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
170,40,"KHM","Cambodia",3,"Kâmpôt",22,"Chum Kiri",170,"Srae Samraong","Khum","Commune",NA,NA
171,40,"KHM","Cambodia",3,"Kâmpôt",22,"Chum Kiri",171,"Trapeang Reang","Khum","Commune",NA,NA
172,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",172,"Angkor Meas","Khum","Commune",NA,NA
173,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",173,"Damnak Sokram","Khum","Commune",NA,NA
174,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",174,"Dang Tong","Khum","Commune",NA,NA
175,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",175,"Khcheay Khang Cheung","Khum","Commune",NA,NA
176,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",176,"Khcheay Khang Tboung","Khum","Commune",NA,NA
177,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",177,"L'ang","Khum","Commune",NA,NA
178,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",178,"Mean Ritth","Khum","Commune",NA,NA
179,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",179,"Srae Chea Khang Cheu","Khum","Commune",NA,NA
180,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",180,"Srae Chea Khang Tbou","Khum","Commune",NA,NA
181,40,"KHM","Cambodia",3,"Kâmpôt",23,"Dang Tong",181,"Totung","Khum","Commune",NA,NA
182,40,"KHM","Cambodia",3,"Kâmpôt",24,"Kampong Bay",182,"Andoung Khmaer","Khum","Commune",NA,NA
183,40,"KHM","Cambodia",3,"Kâmpôt",24,"Kampong Bay",183,"Kampong Bay","Khum","Commune",NA,NA
184,40,"KHM","Cambodia",3,"Kâmpôt",24,"Kampong Bay",184,"Kampong Kandal","Khum","Commune",NA,NA
185,40,"KHM","Cambodia",3,"Kâmpôt",24,"Kampong Bay",185,"Krang Ampil","Khum","Commune",NA,NA
186,40,"KHM","Cambodia",3,"Kâmpôt",24,"Kampong Bay",186,"Traeuy Kaoh","Khum","Commune",NA,NA
187,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",187,"Boeng Sala Khang Che","Khum","Commune",NA,NA
188,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",188,"Boeng Sala Khang Tbo","Khum","Commune",NA,NA
189,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",189,"Damnak Kantuot Khang","Khum","Commune",NA,NA
190,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",190,"Kampong Trach Khang","Khum","Commune",NA,NA
191,40,"KHM","Cambodia",3,"Kâmpôt",25,"Kampong Trach",191,"Kanthaor Khang Cheun","Khum","Commune",NA,NA
